Mol,Med,Voie,Cible,Indication,Code_LES,Code_ATU/Post_ATU/AAC/AAP/CPC,Code_UCD
10 PEPTIDES SYNTHETIQUES CIBLANT 5 ANTIGENES TUMORAUX,TEDOPI,,Bronchopulmonaire,"En monothérapie pour des patients adultes HLA-A2 atteints de cancer bronchique non à petites cellules, localement avancé (non opérable et non éligible à la radiothérapie) ou métastatique sans altération des gènes EGFR et ALK : en 3ème ligne de traitement après échec d’une 1ère ligne de chimiothérapie puis d’une 2ème ligne de traitement avec un inhibiteur de point de contrôle immunitaire administré en monothérapie pendant au moins 12 semaines",,NOSE201,9002772
10 PEPTIDES SYNTHÉTIQUES CIBLANT 5 ANTIGÈNES TUMORAUX,TEDOPI,SC,Bronchopulmonaire,"En monothérapie pour des patients adultes HLA-A2 atteints de cancer bronchique non à petites cellules, localement avancé (non opérable et non éligible à la radiothérapie) ou métastatique sans altération des gènes EGFR et ALK : en 3ème ligne de traitement après échec d’une 1ère ligne de chimiothérapie puis d’une 2ème ligne de traitement avec un inhibiteur de point de contrôle immunitaire administré en monothérapie pendant au moins 12 semaines",,NOSE201,9002772
ABEMACICLIB,VERZENIOS,,Sein,"Chez les femmes dans le traitement du cancer du sein localement avancé ou métastatique, RH+/HER2- en association avec un inhibiteur de l’aromatase ou avec le fulvestrant comme hormonothérapie en 1ère intention, ou chez les femmes ayant été traitées antérieurement par hormonothérapie. Chez les femmes en pré/périménopause, l’hormonothérapie doit être associée à un agoniste de la LH-RH.",,,
ABIRATERONE,ZYTIGA,,Uro/néphrologie,"En association avec la prednisone ou la prednisolone dans le traitement du cancer métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué chez les hommes adultes, en association avec un traitement par suppression androgénique (ADT).",,,
ABIRATÉRONE,ZYTIGA,PO,Uro/néphrologie,"En association avec la prednisone ou la prednisolone dans le traitement du cancer métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué chez les hommes adultes, en association avec un traitement par suppression androgénique (ADT).",,,
ABÉMACICLIB,VERZENIOS,PO,Sein,"Chez les femmes dans le traitement du cancer du sein localement avancé ou métastatique, RH+/HER2- en association avec un inhibiteur de l’aromatase ou avec le fulvestrant comme hormonothérapie en 1ère intention, ou chez les femmes ayant été traitées antérieurement par hormonothérapie. Chez les femmes en pré/périménopause, l’hormonothérapie doit être associée à un agoniste de la LH-RH.",,,
ACALABRUTINIB,CALQUENCE,PO,Hématologique,Chez des patients adultes atteints d’une leucémie lymphoïde chronique (LLC) en monothérapie chez les patients intolérants ou inéligibles à un traitement par ibrutinib.,,CACAL02,
ADAGRASIB,ADAGRASIB,PO,Digestif,"Patients adultes atteints d’un cancer colorectal métastatique avec mutation KRAS G12C présentant une progression de leur maladie précédemment traités en situation métastatique par l’ensemble des traitements disponibles comprenant les chimiothérapies à base de fluoropyrimidine, d’oxaliplatine et d’irinotecan, les agents anti-VEGF ainsi qu’un traitement par trifluridine/tipiracil ou par régorafénib, ou qui ne sont pas éligibles à ces traitements.",,NADAG02,9003227
ADAGRASIB,KRAZATI,PO,Bronchopulmonaire,En monothérapie dans le cancer du poumon NAPC avancé chez l'adulte avec mutation KRAS G12C en cas de progression de la maladie après au moins un traitement systémique.,,,
AFATINIB,GIOTRIF,PO,Bronchopulmonaire,"En monothérapie dans le traitement du cancer bronchique non à petites cellules (CBNPC), de type épidermoïde, localement avancé ou métastatiqueen progression pendant ou après une chimiothérapie à base de platine.",,,
AFLIBERCEPT,ZALTRAP,IV,Digestif,En association avec la chimiothérapie irinotécan/5-fluorouracile/acide folinique (FOLFIRI) est indiqué chez les adultes atteints d'un cancer colorectal métastatique (CCRM) résistant ou ayant progressé après un traitement à base d'oxaliplatine.,I000386,,"9394992 (100 mg)
9395000 (200 mg)"
ALDESLEUKINE,PROLEUKIN,IV,Uro/néphrologie,Traitement de l'adénocarcinome rénal métastatique,,,
ALECTINIB,ALECENSA,PO,Bronchopulmonaire,En monothérapie dans le traitement du cancer bronchique non à petites cellules (CBNPC) avancé avec un réarrangement du gène anaplastic lymphoma kinase (ALK-positif) chez les patients adultes préalablement traités par crizotinib.,,,
ALEMTUZUMAB,CAMPATH,IV,Hématologique,Traitement de la leucémie lymphoïde chronique à cellules B (LLC-B),,NALEM03,9386952
ALPELISIB,PIQRAY,PO,Sein,"En association avec le fulvestrant pour le traitement d’hommes et de femmes ménopausées atteints d’un cancer du sein localement avancé ou métastatique :
 - porteurs de la mutation PIK3CA
 - RH positif
 - HER2-négatif
 - après échec d’au moins 2 lignes de traitements en situation métastatique incluant un anti-aromatase et un inhibiteur CDK4/6 sauf s'ils n'étaient pas éligibles à ce type de traitement. Si le ou la patient(e) n’est pas éligible à au moins 2 lignes des traitements disponibles en situation métastatique, une justification devra être apportée pour l’accès à alpelisib,
 - ne présentant pas de propagation viscérale symptomatique,
 - ne présentant pas de cancer du sein inflammatoire.",,,
ALTRETAMINE,HEXASTAT,,Gynécologique,Traitement de 2ème ligne du cancer de l'ovaire et du cancer bronchique à petites cellules,,,
ALTRÉTAMINE,HEXASTAT,PO,Gynécologique,Traitement de 2ème ligne du cancer de l'ovaire et du cancer bronchique à petites cellules,,,
AMIVANTAMAB,AMIVANTAMAB,IV,Bronchopulmonaire,"AMIVANTAMAB est indiqué en monothérapie dans le traitement des patients adultes atteints d’un cancer bronchique non à petites cellules (CBNPC) métastatique avec mutations activatrices du récepteur du facteur de croissance épidermique (EGFR) par insertion dans l’exon 20, après échec d’une chimiothérapie à base de sels de platine.",,CAMIV01,
AMIVANTAMAB,RYBREVANT,IV,Bronchopulmonaire,"En monothérapie dans le traitement des patients adultes atteints d’un cancer bronchique non à petites cellules (CBNPC) avancé avec mutations activatrices du récepteur du facteur de croissance épidermique (EGFR) par insertion dans l’exon 20, après échec d’un traitement à base de sels de platine",,,
